# 2026-06-04 03:49:25
# 19c8c321b380218129eb207c3d7241f4
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
7.383568296038850676e+00;2.618699161031807332e+00;2.493956268861586523e+01;-1.591352510334095527e+00;1.911667936401086759e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.798205414033797744e+00;2.611585825419352247e+00;2.452498659177039997e+01;-1.585128722137075563e+00;1.076054597575033626e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.224685503814093579e+00;2.606199112974691978e+00;2.409854052213433562e+01;-1.582336414461370522e+00;2.192960845619887789e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.660237337987632955e+00;2.601109472335053852e+00;2.366301842647202136e+01;-1.583263482489852825e+00;-6.378328899476972021e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.101092834221638839e+00;2.594725766970510161e+00;2.322220915154061771e+01;-1.587842512069030487e+00;-1.414711467259556835e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.545980784223434767e+00;2.585496721101775197e+00;2.277741693851395866e+01;-1.595800871592590875e+00;-2.167713257134054605e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
9.994091145876883076e+00;2.571865066795700372e+00;2.232951396439784020e+01;-1.607210807635933714e+00;-2.929310400711569035e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.044461300873930654e+01;2.552234406305704528e+00;2.187941998967061252e+01;-1.622134538901056633e+00;-3.699553879328287831e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.089658159903798307e+01;2.525005689403903464e+00;2.142827233801712694e+01;-1.640606558498211243e+00;-4.477040266746239172e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.134960159984318295e+01;2.488558931877770775e+00;2.097672084040542018e+01;-1.662656435942458710e+00;-5.238752825241757560e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.180355294594665949e+01;2.441298749429022585e+00;2.052523628941384004e+01;-1.687673745192274088e+00;-5.347146126776451680e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.225793691985217393e+01;2.383033529843589626e+00;2.007460344559436294e+01;-1.710534274192989646e+00;-4.667457204497366813e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.271195650830611079e+01;2.315283045588996558e+00;1.962566730472001808e+01;-1.730074952429074608e+00;-3.941542186806423764e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.316522936341698191e+01;2.239641053985188979e+00;1.917875056718765592e+01;-1.746300458909503472e+00;-3.219836440622310392e-02;7.599999999999999645e+00;-1.021849045151824731e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.361774358475959268e+01;2.157627639921328999e+00;1.873373043232755819e+01;-1.759245327224854050e+00;-2.503704301655858971e-02;7.538912225912095089e+00;3.135021803250620520e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.406951699503943232e+01;2.070724283269487653e+00;1.829039419329614446e+01;-1.768946080194608195e+00;-1.792690345344692335e-02;7.557675664400933968e+00;7.112388363345312214e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.452051778334576149e+01;1.980391088648579823e+00;1.784853264823648189e+01;-1.775432889694923411e+00;-1.084653621041560198e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.497054054057936412e+01;1.888100400591061545e+00;1.740807503287944868e+01;-1.778706786845319021e+00;-3.547406086538562684e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.541934011966721130e+01;1.795360390876276302e+00;1.696896188938733019e+01;-1.778594253987455298e+00;4.062652519251996365e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.586666500076224473e+01;1.703721966237993879e+00;1.653112407880389156e+01;-1.775068936615462833e+00;1.168009177497223924e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.631203419784689856e+01;1.614758045733319713e+00;1.609473074411571503e+01;-1.768173260228567134e+00;1.925020938439895787e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.675451510514311693e+01;1.530079343808636860e+00;1.566042800320560424e+01;-1.757987823693286655e+00;2.673376439394430093e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.719381520774811989e+01;1.451097293933067300e+00;1.522828634130962477e+01;-1.744613439740064775e+00;3.408450332147776318e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.762969392803675817e+01;1.379134117548644012e+00;1.479838919076646953e+01;-1.728175112378773415e+00;4.185371874812977150e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.806201019059095714e+01;1.315517350678232944e+00;1.437077925421004743e+01;-1.707949567940588720e+00;5.270953330788153562e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.848971556760851698e+01;1.262183336274095735e+00;1.394641222858567886e+01;-1.682828536772459360e+00;6.476797240304764391e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.890929647367873301e+01;1.221303862199396351e+00;1.352882750025132097e+01;-1.653073304236311269e+00;7.702014056128628217e-02;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.931781585202730511e+01;1.194486480342977108e+00;1.312118928992668820e+01;-1.619060741619512633e+00;8.937486748227990718e-02;7.599999999999999645e+00;-2.659979564231794047e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.971291383589363733e+01;1.182722587816701809e+00;1.272626647761032004e+01;-1.581278083442205107e+00;1.014633638948818778e-01;7.460435300576820694e+00;-2.705946149647913135e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.009540397466656714e+01;1.186421933474656187e+00;1.234379422881279176e+01;-1.540530157776630826e+00;1.085375501342593224e-01;7.320389295489068360e+00;5.537759541352946790e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.047208163025413796e+01;1.205576734713821985e+00;1.196760391818738967e+01;-1.499216898143602261e+00;1.102664958168302900e-01;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.084672905721227565e+01;1.240107564190743750e+00;1.159455121903887864e+01;-1.457747007144640339e+00;1.107329677341728491e-01;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.122099037630862739e+01;1.290022312572829843e+00;1.122363336712865589e+01;-1.416349836066132406e+00;1.101205825633654323e-01;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.159237226175665469e+01;1.354619103082914222e+00;1.085791249064670438e+01;-1.375693215102765210e+00;1.149121162249077954e-01;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.195938209557473542e+01;1.433727615292007762e+00;1.049952992771257065e+01;-1.327618718782886287e+00;1.646404192315977233e-01;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.232214461727936339e+01;1.533050600849257261e+00;1.015062938071744902e+01;-1.254723889737239695e+00;2.408051801978455253e-01;7.599999999999999645e+00;-3.039587570779109793e-01;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.268309941771401839e+01;1.661725516409624515e+00;9.813388911523205138e+00;-1.152517148237456990e+00;3.293540321798169579e-01;7.585550029826258367e+00;-8.000000000000014211e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.304401233358608891e+01;1.829490383527008657e+00;9.493837535052431775e+00;-1.016283400342851584e+00;4.176154601129329902e-01;7.194856676893850889e+00;-8.000000000000014211e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.340470869015909727e+01;2.043234867607344629e+00;9.203294668730997330e+00;-8.603283201774076794e-01;3.723050732490762460e-01;6.781948163756182701e+00;-8.000000000000005329e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.376583003487906254e+01;2.294296771729527507e+00;8.943724743834255975e+00;-7.531797041324888031e-01;2.212608937788338448e-01;6.341677962523515788e+00;-8.000000000000003553e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.412758419022546974e+01;2.565772461854900932e+00;8.704628490033938348e+00;-6.993954430118102250e-01;8.156361463867406458e-02;5.867607084222141722e+00;-8.000000000000005329e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.448873103132358509e+01;2.843710868672075787e+00;8.474026489064566903e+00;-6.903552568919592014e-01;3.284241907870171645e-02;5.352612767354277601e+00;-1.359053970164584291e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.484832410690017923e+01;3.123151597802118484e+00;8.247707999086603792e+00;-6.652362202711434858e-01;1.194864446591836216e-01;5.260518096464632976e+00;-4.374555689497880095e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.520569352487534687e+01;3.410241444963546531e+00;8.034888073889884907e+00;-6.045968779312580477e-01;2.151812198180244606e-01;4.954430926142806335e+00;-4.049213030212570175e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.556141194265649119e+01;3.711404424672824387e+00;7.845582890650359964e+00;-5.177480507778047247e-01;2.168566180647429897e-01;4.654634947790024846e+00;-2.265421993518579757e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.591694679085121678e+01;4.026097695797447251e+00;7.680134489661616826e+00;-4.557075119137661279e-01;1.297864739964652292e-01;4.478253405967889123e+00;-2.068977575111804246e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.627423248006994783e+01;4.349691161030494690e+00;7.528673824870484310e+00;-4.243170373854271427e-01;7.040615473794353818e-02;4.310025685568377618e+00;-2.418579026917173191e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.663618391181514866e+01;4.681289964362618683e+00;7.383583947307970519e+00;-4.001311585611282973e-01;7.051466115550129865e-02;4.101890433336315311e+00;-1.640010538926337746e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.700455299932493958e+01;5.022458239680769765e+00;7.244659534229369591e+00;-3.728346104773372915e-01;7.756868534658334369e-02;3.951866237062498843e+00;-4.232564479519393408e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
